Date,T,V,P,F
7/1/1992,64.22,14.46,0.52,86.47
8/1/1992,67.86,20.43,0.26,65.89
9/1/1992,61.44,15.66,0.03,55.51
10/1/1992,54.01,9.8,3.47,72.95
11/1/1992,40.04,4.68,1.35,67
12/1/1992,32,2.19,12.29,230.86
1/1/1993,32,2.08,15.52,672.22
2/1/1993,32,1.79,9.86,565.94
3/1/1993,42.17,3.42,5.53,1361.14
4/1/1993,42.62,4.59,3.45,950.48
5/1/1993,51.54,7.46,2.42,905.08
6/1/1993,56.17,11.15,2.71,520.64
7/1/1993,62.24,14.05,0.03,166.62
8/1/1993,63.99,15.93,0.47,107.33
9/1/1993,60.4,15.58,0.06,93.24
10/1/1993,51.98,7.98,3.25,99.45
11/1/1993,39.32,5.52,2.39,95.62
12/1/1993,33.75,2.33,5.48,153.72
1/1/1994,36.29,3.72,2.7,152.4
2/1/1994,32.67,2.73,7.86,226.42
3/1/1994,42.44,5.64,1.64,329.76
4/1/1994,45.49,6.59,2.14,271.28
5/1/1994,52.07,7.68,2.3,250.11
6/1/1994,59.21,14.53,0.17,107.58
7/1/1994,70.04,21.79,0.02,76.95
8/1/1994,66.7,21.46,0,65.96
9/1/1994,61.54,15.94,0.48,62.07
10/1/1994,49.35,8.36,0.75,60.23
11/1/1994,32.39,2.61,7.8,103.7
12/1/1994,32.69,2.22,7.16,204.04
1/1/1995,33.77,1.21,24.06,1520.72
2/1/1995,42.08,5.25,2.17,606.25
3/1/1995,36.45,2.48,20.82,2282.68
4/1/1995,40.83,4.47,7.91,1337.53
5/1/1995,48.37,6.16,5.55,1682.17
6/1/1995,55.73,9.59,3.3,869.99
7/1/1995,63.87,14.36,0.38,353.76
8/1/1995,65.25,17.87,0,153.15
9/1/1995,62.43,15.71,0,105.28
10/1/1995,52.82,11.65,0.07,104.41
11/1/1995,46.68,6,0.5,107.62
12/1/1995,36.83,2.27,11.16,351.05
1/1/1996,35.86,2.8,11.41,460.22
2/1/1996,37.58,2.96,12.77,1279.22
3/1/1996,39.88,4.47,5.62,857.39
4/1/1996,44.33,6.03,5.3,882.22
5/1/1996,50.29,7.87,6.61,1018.2
6/1/1996,60.66,13.13,0.35,337.32
7/1/1996,70.26,19.2,0.5,170.33
8/1/1996,68.61,20.26,0.27,110.92
9/1/1996,59.11,14.46,1.13,103.96
10/1/1996,50.09,9.89,2.05,105.28
11/1/1996,41.9,4.34,5.66,222.98
12/1/1996,35.89,2.37,22.73,1506.3
1/1/1997,34.82,2.3,17.4,2539.49
2/1/1997,37.34,3.91,0.75,530.45
3/1/1997,43.08,6.14,2.65,532.06
4/1/1997,44.57,5.93,2.34,496.54
5/1/1997,55.9,10.85,0.9,325.35
6/1/1997,58.43,10.73,1.87,187.09
7/1/1997,65.3,16.67,0.42,116.11
8/1/1997,65.41,17.27,0.5,100.94
9/1/1997,60.16,12.94,0.91,91.79
10/1/1997,49.04,8.16,2.84,103.43
11/1/1997,41.82,3.96,7.18,192.24
12/1/1997,33.14,2.97,4.64,232.76
1/1/1998,34.64,1.8,15.26,970.34
2/1/1998,32.1,1.16,16.93,1116.98
3/1/1998,38.72,3.76,5.3,981.21
4/1/1998,40.23,4.78,3.93,886.44
5/1/1998,43.01,3.33,6.71,1081.94
6/1/1998,55.84,8.18,2.14,976.94
7/1/1998,67.69,16.95,0.34,369.71
8/1/1998,67.96,20.73,0.03,161.16
9/1/1998,61.61,12.87,1.71,125.97
10/1/1998,48.05,7.38,1.28,128.69
11/1/1998,37.98,2.74,9.88,338.9
12/1/1998,32.03,3.41,5.02,419.99
1/1/1999,36.04,3.65,7.89,567.84
2/1/1999,33.68,2.33,12.79,952.12
3/1/1999,37.37,3.63,4.67,810.59
4/1/1999,41.27,6.05,2.96,682.72
5/1/1999,51.25,9.17,0.8,694.64
6/1/1999,58.4,12.67,0.63,319.43
7/1/1999,65.64,18.4,0.12,145.84
8/1/1999,64.07,15.84,0.42,116.81
9/1/1999,63.1,17.61,0.16,100.15
10/1/1999,54.92,13.31,2.31,97.78
11/1/1999,44.1,5.57,4.46,150.97
12/1/1999,36.55,4.42,1.66,122.89
1/1/2000,34.91,2.29,11.21,432.28
2/1/2000,36.94,2.32,15.97,978
3/1/2000,40.33,4.56,3.66,761.35
4/1/2000,47.16,6.86,2.65,698.41
5/1/2000,52.28,8.74,1.87,488.08
6/1/2000,62.83,15.51,0.44,207.81
7/1/2000,64.29,16.96,0.01,131.32
8/1/2000,67.25,20.18,0.01,93.92
9/1/2000,59.49,13.75,0.65,82.17
10/1/2000,49.84,8.57,3.76,110.61
11/1/2000,37.06,4.02,1.68,96.4
12/1/2000,38.34,4.41,2.22,122.72
1/1/2001,33.35,3.87,3.88,137.81
2/1/2001,32.59,2.8,7.75,211.54
3/1/2001,43.27,5.37,3.48,396.48
4/1/2001,41.07,5.36,2.96,338.61
5/1/2001,59.97,14.68,0.12,297
6/1/2001,61.3,15.43,0.36,107.06
7/1/2001,67.16,18.45,0.27,85.96
8/1/2001,68.55,21.62,0,70.96
9/1/2001,63.36,15.97,0.66,65.45
10/1/2001,56.2,13,1.28,62.71
11/1/2001,41.84,4.12,7.57,170.77
12/1/2001,32.68,1.59,11.08,365.57
1/1/2002,32.46,2.75,4.64,492.4
2/1/2002,38.77,4.59,2.79,304.06
3/1/2002,37.89,5.02,4.53,446.2
4/1/2002,46.48,6.55,1.79,506.28
5/1/2002,50.81,8.58,1.2,341.32
6/1/2002,62.19,14.77,0.08,160.62
7/1/2002,70.59,21.2,0.12,95.03
8/1/2002,66.93,20.01,0,74.98
9/1/2002,62.23,17.6,0,64.39
10/1/2002,51.32,10.9,0.03,52.58
11/1/2002,42.88,5.95,6.2,134.62
12/1/2002,35.02,2.19,18.33,661.92
1/1/2003,41.02,3.51,5.17,742.83
2/1/2003,36.44,3.88,2.54,369.9
3/1/2003,40.48,4.24,4.95,568.63
4/1/2003,37.97,3.28,8.15,638.72
5/1/2003,51.75,9.04,2.17,839.32
6/1/2003,63.47,15.2,0.08,347.49
7/1/2003,70.61,21.36,0.12,135.46
8/1/2003,65.4,15.81,1.25,116.94
9/1/2003,64.69,18.75,0.07,84.19
10/1/2003,56.71,13.41,0.12,73.79
11/1/2003,36.34,3.01,3.36,105.86
12/1/2003,34.43,1.92,12.84,399.13
1/1/2004,34.16,2.58,4.92,322.91
2/1/2004,34.14,2.43,11.74,782.76
3/1/2004,47.12,7.42,1.7,723.63
4/1/2004,46.89,7.64,1.14,518.78
5/1/2004,52.17,9.03,1.3,405.15
6/1/2004,61.55,14.09,0.35,191.51
7/1/2004,68.23,18.65,0.17,109.11
8/1/2004,66.8,19.29,0.07,92.31
9/1/2004,60.59,16.75,0.31,75.18
10/1/2004,49.07,8.91,5.69,124.38
11/1/2004,39.54,4.27,2.33,109.42
12/1/2004,36.17,3.74,7.5,233.31
1/1/2005,34.45,3.04,7.27,299.21
2/1/2005,38.24,3.36,3.27,326.24
3/1/2005,41.4,5.27,7.61,684.2
4/1/2005,42.56,5.33,3.09,597.63
5/1/2005,50.72,7.1,6.63,1116.45
6/1/2005,54.99,9.65,2.04,393.38
7/1/2005,70.81,20.21,0,171.74
8/1/2005,68.26,20.68,0.02,111.53
9/1/2005,58.09,13.28,0.6,98.99
10/1/2005,51.14,8.73,1.15,85.33
11/1/2005,43.09,5.23,4.66,143.85
12/1/2005,37.03,2.35,20.16,1353.41
1/1/2006,35.2,2.42,9.2,1023.43
2/1/2006,37.73,4.87,6.52,724.73
3/1/2006,32.62,2.13,10.72,1133.09
4/1/2006,42.44,4.01,10.31,1706.16
5/1/2006,54.66,9.93,1.26,1206.27
6/1/2006,63.55,15.39,0.32,421.79
7/1/2006,70.81,21.89,0.13,193.05
8/1/2006,65.69,18.88,0,126.89
9/1/2006,61.57,17.38,0.01,94.26
10/1/2006,50.45,9.28,0.38,97.69
11/1/2006,40.54,3.7,4.11,138.27
12/1/2006,35.5,3.6,6.1,283.14
1/1/2007,33.3,4.48,0.83,181.02
2/1/2007,37.28,3.48,11.37,466.97
3/1/2007,44.38,6.68,1.28,441.14
4/1/2007,45.82,6.99,2.47,309.5
5/1/2007,54.7,11.71,0.96,225.48
6/1/2007,61.09,14.96,0.52,109.61
7/1/2007,69.06,20.46,0.38,114.32
8/1/2007,67.8,20.63,0.04,93.19
9/1/2007,58.52,13.55,0.71,80.06
10/1/2007,48.04,6.8,3.08,90.99
11/1/2007,44.47,6.44,0.95,74.42
12/1/2007,32,2.56,5.08,115.76
1/1/2008,32,2.41,10.52,228.5
2/1/2008,35.46,3.83,6.01,238.79
3/1/2008,39.51,5.06,1.42,363.69
4/1/2008,42.95,7.07,0.58,357.86
5/1/2008,52.56,9.89,0.97,417.72
6/1/2008,60.89,15.94,0.01,144.68
7/1/2008,68.82,21.03,0.01,88.45
8/1/2008,69.41,21.92,0.01,65.68
9/1/2008,63.36,19.21,0.02,52
10/1/2008,52.45,11.17,1.99,64.41
11/1/2008,44.79,5.12,4.71,127.17
12/1/2008,33.22,3.43,4.93,113.05
1/1/2009,38.32,4.97,2.87,171.95
2/1/2009,35.52,3.18,9.94,476.04
3/1/2009,38.12,4.46,7.22,777.35
4/1/2009,44.29,7.24,0.82,409.58
5/1/2009,56.24,11.62,4.21,606.69
6/1/2009,58.35,11.32,1.39,176.13
7/1/2009,69.2,21.99,0.08,85.31
8/1/2009,66.76,19.63,0.17,77.84
9/1/2009,65.38,19.55,0.1,61.29
10/1/2009,48.75,7.7,3.57,93.12
11/1/2009,42.15,5.68,2.02,74.99
12/1/2009,32.12,2.92,4.88,113.09
1/1/2010,36.42,2.36,11,347.66
2/1/2010,37.66,3.25,5.13,314.85
3/1/2010,39.14,5.39,4.82,437.68
4/1/2010,39.86,4.65,6.25,618.02
5/1/2010,45,6.41,2.76,682.92
6/1/2010,58.93,11.71,0.31,548.8
7/1/2010,68.76,19.49,0.15,180.96
8/1/2010,65.22,18.23,0.14,93.71
9/1/2010,61.87,16.23,0.08,79.94
10/1/2010,52.72,8.58,5.99,136.22
11/1/2010,38.9,4.52,5.96,153.04
12/1/2010,35.88,2.02,13.6,787.04
1/1/2011,37.2,4.36,1.6,361.51
2/1/2011,33.48,3.84,7.73,372.83
3/1/2011,35.96,2.55,13.67,1111.09
4/1/2011,41.56,5.05,2.81,1165.02
5/1/2011,46.18,6.56,3.67,983.31
6/1/2011,56.19,10.21,3.11,906.05
7/1/2011,65.46,15.86,0.02,351.45
8/1/2011,67.37,19.04,0,147.18
9/1/2011,65.49,18.15,0.34,104.04
10/1/2011,52.21,8.51,3.03,124.02
11/1/2011,39.11,4.27,1.78,118.28
12/1/2011,36.14,5.03,0.23,84.93
1/1/2012,38.08,5.02,6.29,186.69
2/1/2012,36.93,4.31,1.9,156.09
3/1/2012,37.54,3.69,11.99,679.95
4/1/2012,44.84,6.25,5.59,693.64
5/1/2012,53.76,10.93,0.4,399.46
6/1/2012,59.23,14.02,0.87,150.46
7/1/2012,67.44,18.98,0.11,113.28
8/1/2012,70.7,23.3,0.05,89.82
9/1/2012,65.8,19.41,0.02,62.76
10/1/2012,53.78,10.68,2.11,73.82
11/1/2012,43.44,4.91,9.31,282.1
12/1/2012,32.78,2.05,16.05,950.46
1/1/2013,32.74,3.96,1.3,270.65
2/1/2013,37.06,5.05,0.64,233.84
3/1/2013,43.84,6.22,2.68,415.33
4/1/2013,47.96,8.23,1.45,350.78
5/1/2013,53.35,9.65,1.21,174.83
6/1/2013,62.49,15.07,1.18,138.12
7/1/2013,71.7,22.3,0.23,91.93
8/1/2013,66.23,18.28,0.15,77.79
9/1/2013,59.95,13.03,1.53,70.03
10/1/2013,49.65,9.54,0.75,76.87
11/1/2013,44.06,6.36,1.5,79.53
12/1/2013,34.97,4.98,0.54,73.92
1/1/2014,41.73,6.53,1.06,78.37
2/1/2014,39.25,3.91,8.47,257.51
3/1/2014,42.68,5.38,8.66,460.91
4/1/2014,46.65,7.29,1.67,289.83
5/1/2014,54.45,11.39,0.59,125.94
6/1/2014,62.44,16.27,0.06,79.84
7/1/2014,72.49,22.25,0.27,73.08
8/1/2014,67.42,17.38,1.06,68.1
9/1/2014,63.35,15.99,0.86,56.6
10/1/2014,54.84,11.12,1.9,53.78
11/1/2014,43.67,5.26,3.48,89.52
12/1/2014,37.53,1.91,13.06,594.58
1/1/2015,41.86,5.08,0.16,177.86
2/1/2015,44.68,6.06,5.62,442.11
3/1/2015,47.19,7.53,0.86,157.1
4/1/2015,46.06,7.69,1.97,121.39
5/1/2015,52.34,8.28,1.36,97.14
6/1/2015,66.17,17.68,0.39,84.95
7/1/2015,67.64,16.76,1.06,74.82
8/1/2015,68.33,19.85,0.15,66.16
9/1/2015,63.54,17.69,0.27,56.33
10/1/2015,56.34,10.5,1.31,58.32
11/1/2015,37.73,3.94,3.44,66.9
12/1/2015,32.55,1.91,8.96,229.29
1/1/2016,34.65,2.08,12.97,677.39
2/1/2016,42.47,5.75,2.35,433.87
3/1/2016,41.57,4.11,14.08,1511.14
4/1/2016,48.45,7,2.22,542.78
5/1/2016,52.43,7.91,2.08,355.83
6/1/2016,63.02,15.85,0.6,155.11
7/1/2016,67.83,20.02,0,82.81
8/1/2016,69.42,21.96,0.04,68.95
9/1/2016,62.32,16.5,0.04,66.32
10/1/2016,49.49,6.87,8.68,182.03
11/1/2016,42.65,4.59,4.31,190.91
12/1/2016,34.12,2.98,10.14,784.42
1/1/2017,32,1.93,20.58,1598.17
2/1/2017,36.41,2.37,19.44,2919.94
3/1/2017,42.07,4.83,5.66,1215.98
4/1/2017,42.97,4.95,7.74,1513.37
5/1/2017,55.02,10.77,0.49,939.67
6/1/2017,63.02,14.71,0.73,406.94
7/1/2017,71.1,21.5,0.03,196.84
8/1/2017,72.09,20.99,0.23,127.68
9/1/2017,61.49,14.66,0.66,95.39
10/1/2017,52.11,10.84,0.73,98.98
11/1/2017,42.7,3.55,9.93,257.22
12/1/2017,39.37,5.68,0.6,155.7
1/1/2018,39.52,3.35,6.37,338.08
2/1/2018,36.27,5.15,0.78,180.76
3/1/2018,36.56,3.53,12.27,877.64
4/1/2018,46.34,6.79,4.59,791.41
5/1/2018,54.28,8.33,1.59,273.88
6/1/2018,61.75,14.88,0.26,143.05
7/1/2018,72.23,21.77,0.07,103.5
8/1/2018,68.99,21.18,0,95.59
9/1/2018,62.66,17.6,0,73.46
10/1/2018,51.95,9.32,0.9,67.39
11/1/2018,44.45,7.14,4.79,103.85
12/1/2018,35.54,2.8,3.78,163.29
1/1/2019,37.26,3.31,11.53,560.46
2/1/2019,32,1.63,18.89,957.4
3/1/2019,37.41,3.38,7.7,1172.59
4/1/2019,48.65,6.89,2.85,1336.25
5/1/2019,49.68,6.95,4.87,905.44
6/1/2019,61.97,13.8,0.35,469.29
7/1/2019,66.75,16.56,0.02,199.39
8/1/2019,68.77,18.86,0.03,125.1
9/1/2019,59.12,12.58,2.1,110.14
10/1/2019,47.49,8.96,0.29,97.92
11/1/2019,45.99,8.13,1.18,100.4
12/1/2019,35.4,2.17,9.63,325.6
1/1/2020,36.33,2.81,3.87,257.16
2/1/2020,41.13,6.41,0.01,180.25
3/1/2020,37.56,3.92,5,215.46
4/1/2020,47.23,6.87,2.26,406.84
5/1/2020,53.58,9.81,3.15,295.13
6/1/2020,60.65,13.73,0.35,139.11
7/1/2020,69.61,20.16,0.16,94.89
8/1/2020,71.7,21.09,0.09,77.76
9/1/2020,66.72,19.41,0,61.78
10/1/2020,58.91,15.55,0,73.44
11/1/2020,41.54,6.31,3.26,69.62
12/1/2020,37.44,4.38,3.59,107.8
1/1/2021,35.44,3.19,4.72,142.79
2/1/2021,36.17,3.87,3.41,201.63
3/1/2021,37.27,4.63,3.28,213.78
4/1/2021,48.05,9,0.6,219.6
5/1/2021,54.78,11.44,0.27,136.86
6/1/2021,66.97,19.16,0.14,88.62
7/1/2021,73.54,24.02,0.09,70.11
8/1/2021,70.02,21.63,0.02,56.39
9/1/2021,64.74,18.23,0.58,56.28
